Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Micah.Carter54@yahoo.com,640-41-8295,1/31/1972,Kirlin,Maud,,M,123 RandStreet,Dallas,Texas,17001,(718) 881-0772 x8587,927-310-8347,Class A,Title Test,Active,11/4/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Lelah11@yahoo.com,521-62-7339,7/26/1951,Luettgen,Devin,,F,123 RandStreet,Dallas,Texas,17001,1-538-484-6927 x6076,244-448-6106,Class A,Title Test,Active,6/4/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Cornell_Quitzon35@hotmail.com,341-52-5292,2/28/1960,Reilly,Helmer,,M,123 RandStreet,Dallas,Texas,17001,460-959-4474 x8873,118-558-6980,Class A,Title Test,Active,6/2/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Ibrahim_Walter@gmail.com,482-43-5720,12/16/1980,Gutmann,Alexie,,M,123 RandStreet,Dallas,Texas,17001,937.785.5650 x52422,613-072-6684,Class A,Title Test,Active,7/4/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Marietta.Legros@hotmail.com,503-13-2027,12/7/1983,Hand,Lorenz,,F,123 RandStreet,Dallas,Texas,17001,(737) 557-7703 x5488,891-540-1712,Class A,Title Test,Active,8/9/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Jordi_Senger@yahoo.com,716-42-5724,8/31/1987,Schneider,Hardy,,F,123 RandStreet,Dallas,Texas,17001,(532) 749-0654 x58648,459-472-8474,Class A,Title Test,Active,11/27/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Casey.Considine-Hilpert1@gmail.com,127-72-9750,5/25/1963,Haley,Jerrold,,M,123 RandStreet,Dallas,Texas,17001,1-621-324-4310 x064,696-792-9846,Class A,Title Test,Active,2/26/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Tyson0@yahoo.com,212-88-4955,10/8/1988,Bednar,Forest,,F,123 RandStreet,Dallas,Texas,17001,881-457-7092 x6614,377-534-4398,Class A,Title Test,Active,8/19/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Waldo.Lueilwitz@yahoo.com,981-36-5169,9/19/1969,Turcotte,Etha,,F,123 RandStreet,Dallas,Texas,17001,871.564.3664 x82024,178-924-9834,Class A,Title Test,Active,8/19/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Simeon_Abbott51@gmail.com,781-78-0250,12/29/1983,Kuhic,Braxton,,M,123 RandStreet,Dallas,Texas,17001,640.955.1667 x4066,106-822-6278,Class A,Title Test,Active,6/22/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
