Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Mohammed59@yahoo.com,743-52-2248,6/10/1953,Lowe,Maya,,M,123 RandStreet,Dallas,Texas,17001,921-938-4459 x170,732-731-3336,Class A,Title Test,Active,7/15/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Lucious_Tillman0@yahoo.com,036-41-1344,7/18/1996,Waelchi,Clarissa,,F,123 RandStreet,Dallas,Texas,17001,(846) 439-7041 x08295,119-256-6074,Class A,Title Test,Active,5/15/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Isabella.Kuphal@yahoo.com,318-57-2773,9/30/1979,Brekke,Jettie,,F,123 RandStreet,Dallas,Texas,17001,897-791-1460 x9786,431-399-5057,Class A,Title Test,Active,3/27/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Andreane_Feeney64@yahoo.com,062-06-5697,12/26/1971,Bergnaum,Brenda,,M,123 RandStreet,Dallas,Texas,17001,314-884-3182,391-350-7346,Class A,Title Test,Active,12/13/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Erica_Moen@yahoo.com,838-60-7451,4/13/1960,Beer,Damien,,M,123 RandStreet,Dallas,Texas,17001,560-256-2469,326-657-1272,Class A,Title Test,Active,2/23/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Deon.Jacobi@yahoo.com,714-54-8488,3/6/1975,Gerlach,Cesar,,M,123 RandStreet,Dallas,Texas,17001,1-920-413-0221 x52799,448-123-9826,Class A,Title Test,Active,6/23/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Jordon.Glover@hotmail.com,700-47-0697,12/23/1957,Blanda,Magnus,,M,123 RandStreet,Dallas,Texas,17001,375.720.0881,446-579-5613,Class A,Title Test,Active,4/14/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Garrett37@yahoo.com,692-72-5481,9/28/1983,Hirthe-Tromp,Amy,,F,123 RandStreet,Dallas,Texas,17001,1-679-673-6431 x502,351-711-3026,Class A,Title Test,Active,4/16/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Braulio19@gmail.com,234-12-2879,5/12/1976,Marks,Melyna,,M,123 RandStreet,Dallas,Texas,17001,(980) 862-8682,975-825-2664,Class A,Title Test,Active,9/21/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Branson.Harber-Abshire@hotmail.com,924-97-3217,9/11/2000,Williamson-Crooks,Tyrique,,F,123 RandStreet,Dallas,Texas,17001,669.298.1641,609-546-7165,Class A,Title Test,Active,3/30/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
