Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Alberto13@hotmail.com,658-71-7414,6/21/1946,Jacobson,Anastacio,,F,123 RandStreet,Dallas,Texas,17001,1-291-454-4907 x64571,807-496-0920,Class A,Title Test,Active,4/11/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Oma.Torphy-Gulgowski@gmail.com,028-80-1827,5/28/1979,Bernier,Karianne,,M,123 RandStreet,Dallas,Texas,17001,424-864-4997 x85084,414-429-3853,Class A,Title Test,Active,8/12/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Louvenia91@gmail.com,898-86-5225,6/8/1982,Wolff,Ryder,,F,123 RandStreet,Dallas,Texas,17001,580.264.4348 x28098,623-436-0897,Class A,Title Test,Active,8/11/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Sandra.Turcotte76@yahoo.com,810-38-1825,2/19/1962,Green,Rogelio,,F,123 RandStreet,Dallas,Texas,17001,1-553-447-3965 x197,284-781-5783,Class A,Title Test,Active,4/25/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Kendrick.Keeling@gmail.com,468-81-7547,8/14/1986,Kris,Domenico,,F,123 RandStreet,Dallas,Texas,17001,(628) 220-0212 x398,685-997-5756,Class A,Title Test,Active,2/1/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Nikko.Goyette36@gmail.com,943-38-1735,4/18/1947,Ritchie,Janet,,F,123 RandStreet,Dallas,Texas,17001,819-924-0952 x689,128-287-4479,Class A,Title Test,Active,6/16/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Golden.Emmerich@hotmail.com,138-88-7529,1/8/1974,Dietrich,Markus,,M,123 RandStreet,Dallas,Texas,17001,923-725-1252,231-875-8073,Class A,Title Test,Active,8/23/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Kylie_Kub29@hotmail.com,652-60-0468,10/12/1990,Towne,Bo,,M,123 RandStreet,Dallas,Texas,17001,669-781-9641 x755,802-583-5350,Class A,Title Test,Active,12/11/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Wilfredo38@hotmail.com,754-99-1382,6/28/1952,Murphy,Timmy,,M,123 RandStreet,Dallas,Texas,17001,527-871-9780 x2027,065-079-5686,Class A,Title Test,Active,7/30/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Delbert.Pfannerstill47@hotmail.com,475-52-3644,7/31/1952,Bode,Judah,,F,123 RandStreet,Dallas,Texas,17001,1-777-474-2579 x905,745-371-2380,Class A,Title Test,Active,1/8/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
