Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Afton90@gmail.com,776-91-7262,8/15/1976,Donnelly,Barney,,M,123 RandStreet,Dallas,Texas,17001,460-236-4418,409-894-1343,Class A,Title Test,Active,9/5/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Hilbert24@gmail.com,953-14-3745,2/26/1959,Durgan-Towne,Kenton,,M,123 RandStreet,Dallas,Texas,17001,765.372.0053 x758,594-447-3677,Class A,Title Test,Active,12/13/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Rafael62@gmail.com,356-93-6051,3/29/1966,Kovacek,Stephania,,F,123 RandStreet,Dallas,Texas,17001,(455) 464-5377 x2847,679-867-8619,Class A,Title Test,Active,5/1/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Houston_Franecki@yahoo.com,587-79-4749,1/1/1981,Jacobs,Erna,,F,123 RandStreet,Dallas,Texas,17001,1-390-751-9975 x945,525-327-0118,Class A,Title Test,Active,10/14/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Matteo_Hahn1@hotmail.com,455-50-6331,9/16/1982,Reichel,Merl,,F,123 RandStreet,Dallas,Texas,17001,993.949.5006 x03368,249-828-5936,Class A,Title Test,Active,10/9/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Marlee25@hotmail.com,454-02-8100,9/22/1956,Lowe,Nicole,,F,123 RandStreet,Dallas,Texas,17001,1-322-466-5457 x23276,235-643-1448,Class A,Title Test,Active,1/23/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Bruce51@yahoo.com,910-75-5286,9/24/1996,Ryan,Ryann,,M,123 RandStreet,Dallas,Texas,17001,486-606-6721 x444,257-447-8899,Class A,Title Test,Active,12/31/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Dana.Quitzon73@hotmail.com,881-34-0830,8/25/1941,Boyle,Stanton,,M,123 RandStreet,Dallas,Texas,17001,1-819-482-6685 x7313,492-771-1831,Class A,Title Test,Active,2/19/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Catherine69@yahoo.com,597-52-4282,8/2/1961,Konopelski,Clair,,F,123 RandStreet,Dallas,Texas,17001,895.992.1091,686-098-6911,Class A,Title Test,Active,11/28/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Abigale.Pagac86@yahoo.com,358-54-4966,6/24/1990,Feil,Buster,,F,123 RandStreet,Dallas,Texas,17001,443.495.3266 x467,313-464-5260,Class A,Title Test,Active,2/11/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
