Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Billie30@hotmail.com,150-63-6709,11/5/2005,Simonis,Ottis,,F,123 RandStreet,Dallas,Texas,17001,1-293-983-5425 x69664,493-847-2270,Class A,Title Test,Active,6/27/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Meda97@yahoo.com,748-04-8140,9/15/1947,Labadie,Lorine,,F,123 RandStreet,Dallas,Texas,17001,605-227-4155,076-090-7508,Class A,Title Test,Active,8/10/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Giovanny.Langosh@hotmail.com,847-23-5901,7/29/1957,Yundt,Ceasar,,M,123 RandStreet,Dallas,Texas,17001,(461) 525-7380 x0538,248-642-5830,Class A,Title Test,Active,3/2/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Austin.Veum@yahoo.com,639-75-5594,11/8/1979,McLaughlin,Brain,,F,123 RandStreet,Dallas,Texas,17001,436-859-2989 x88919,911-952-5027,Class A,Title Test,Active,1/20/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Queenie_Greenfelder@yahoo.com,202-60-0211,6/5/1956,Gulgowski,Guadalupe,,M,123 RandStreet,Dallas,Texas,17001,544.215.7358 x243,572-248-1687,Class A,Title Test,Active,1/6/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Macie.Collins@hotmail.com,794-56-0635,12/21/1998,Abbott,Zula,,M,123 RandStreet,Dallas,Texas,17001,424.971.1014,001-915-2105,Class A,Title Test,Active,6/5/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Pinkie.Prohaska41@gmail.com,877-57-7326,11/28/1966,Murazik,Emmy,,M,123 RandStreet,Dallas,Texas,17001,1-786-258-8296 x8726,429-240-6747,Class A,Title Test,Active,12/27/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Pablo.Schuppe79@yahoo.com,025-09-8718,6/25/1958,Denesik,Marlee,,M,123 RandStreet,Dallas,Texas,17001,(882) 244-0001 x0427,408-530-6435,Class A,Title Test,Active,7/3/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Kiel_Stehr@gmail.com,105-79-8326,6/27/1982,Walter,Savannah,,F,123 RandStreet,Dallas,Texas,17001,1-743-875-3123 x37278,031-010-6062,Class A,Title Test,Active,2/13/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Cruz_Hackett60@hotmail.com,887-05-2953,12/8/1979,Schumm,Damien,,M,123 RandStreet,Dallas,Texas,17001,886-790-6677,170-663-8175,Class A,Title Test,Active,5/12/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
