Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Annamarie_Collins78@yahoo.com,736-65-4842,7/17/1986,Schneider,Laurence,,F,123 RandStreet,Dallas,Texas,17001,1-978-387-7737 x40835,360-582-5175,Class A,Title Test,Active,1/21/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Kattie68@yahoo.com,950-76-1964,4/6/1999,Flatley,Jaiden,,F,123 RandStreet,Dallas,Texas,17001,739.617.0813,604-993-5829,Class A,Title Test,Active,2/29/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Kianna25@gmail.com,156-62-3772,8/28/1999,Grady,Lea,,M,123 RandStreet,Dallas,Texas,17001,415-894-9324 x4892,393-320-7846,Class A,Title Test,Active,6/26/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Mathilde83@gmail.com,554-67-7567,9/6/1958,Champlin,Jonatan,,F,123 RandStreet,Dallas,Texas,17001,730.876.8947,621-335-2912,Class A,Title Test,Active,2/13/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Karine.Goodwin40@gmail.com,012-28-5565,6/1/1945,Okuneva,Lonnie,,M,123 RandStreet,Dallas,Texas,17001,1-826-988-8367,167-163-0712,Class A,Title Test,Active,6/24/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Piper.Parker42@hotmail.com,909-95-3298,1/18/1947,Luettgen,Neva,,M,123 RandStreet,Dallas,Texas,17001,(219) 346-0741 x04882,364-520-5743,Class A,Title Test,Active,8/23/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Meta.OKeefe8@hotmail.com,526-42-1709,2/14/1955,Okuneva,Bonnie,,F,123 RandStreet,Dallas,Texas,17001,1-397-649-5599,749-238-3771,Class A,Title Test,Active,7/8/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Max.Monahan25@gmail.com,021-89-3752,5/25/1965,Kris,Beatrice,,F,123 RandStreet,Dallas,Texas,17001,1-310-466-3981 x525,547-453-1765,Class A,Title Test,Active,12/7/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Faye.Feeney88@yahoo.com,723-07-8513,11/23/1976,Wolff,Dameon,,M,123 RandStreet,Dallas,Texas,17001,(599) 348-2417 x7279,002-962-3936,Class A,Title Test,Active,11/14/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Reanna56@hotmail.com,812-59-3723,5/29/1993,Torphy,Axel,,M,123 RandStreet,Dallas,Texas,17001,601-247-2536 x7838,814-149-1669,Class A,Title Test,Active,1/4/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
