Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Brandy97@hotmail.com,513-50-4643,3/9/1994,Wilkinson-Legros,Michele,,M,123 RandStreet,Dallas,Texas,17001,(269) 423-7703 x675,296-700-6619,Class A,Title Test,Active,7/25/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Wilhelmine_Oberbrunner@hotmail.com,573-34-9268,5/30/1991,Renner,Hannah,,F,123 RandStreet,Dallas,Texas,17001,1-973-708-0566 x30048,630-458-8350,Class A,Title Test,Active,2/25/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Vincenza_Emmerich60@gmail.com,154-88-5209,5/20/1961,Feil,Karlee,,F,123 RandStreet,Dallas,Texas,17001,926-961-7739 x596,138-529-9296,Class A,Title Test,Active,2/28/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Zechariah_Kovacek@yahoo.com,265-82-7356,4/29/2004,Gottlieb,Bruce,,F,123 RandStreet,Dallas,Texas,17001,1-368-534-9983,597-892-9819,Class A,Title Test,Active,7/29/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Landen.Hackett35@gmail.com,655-56-9808,3/3/2009,Herman,Agustin,,M,123 RandStreet,Dallas,Texas,17001,666.756.1357 x22913,691-293-6655,Class A,Title Test,Active,2/9/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Tracy.Keeling0@yahoo.com,190-10-3242,3/26/1964,Brekke,Mattie,,M,123 RandStreet,Dallas,Texas,17001,1-733-442-5608 x135,467-702-1224,Class A,Title Test,Active,5/3/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Yasmine.Botsford32@yahoo.com,215-04-0243,11/21/1978,Dach,Loy,,M,123 RandStreet,Dallas,Texas,17001,1-626-282-7649 x5289,998-352-9954,Class A,Title Test,Active,3/22/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Veronica.Howell75@gmail.com,466-94-2666,10/28/2022,Schiller,Isai,,M,123 RandStreet,Dallas,Texas,17001,(993) 983-3608 x0873,188-599-6843,Class A,Title Test,Active,9/18/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Charlie.Toy81@gmail.com,199-26-6192,12/14/1997,Keeling,Audrey,,M,123 RandStreet,Dallas,Texas,17001,(644) 917-1413 x968,771-411-4081,Class A,Title Test,Active,6/28/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Lazaro_Kuvalis@gmail.com,266-81-2192,2/21/1998,Volkman,Blair,,F,123 RandStreet,Dallas,Texas,17001,1-310-283-1592,161-340-7916,Class A,Title Test,Active,12/1/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
