Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Johnathan_Leannon@gmail.com,350-07-8138,5/16/1959,Hyatt,Ova,,M,123 RandStreet,Dallas,Texas,17001,1-754-975-7311 x56213,411-133-5461,Class A,Title Test,Active,4/19/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Kattie.Sporer@hotmail.com,031-95-2871,9/17/1979,O'Connell-Rohan,Lauretta,,M,123 RandStreet,Dallas,Texas,17001,966-695-2324 x289,612-287-8767,Class A,Title Test,Active,2/7/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Jeffry96@hotmail.com,776-71-1811,12/26/1940,Keeling,Jazmyn,,F,123 RandStreet,Dallas,Texas,17001,513-733-7934,485-667-3277,Class A,Title Test,Active,12/15/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Russ.Stark20@yahoo.com,575-02-0379,7/20/1965,Schmitt,Flavie,,M,123 RandStreet,Dallas,Texas,17001,(974) 897-9025 x9774,356-867-0936,Class A,Title Test,Active,11/16/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Marisol_Hayes@hotmail.com,293-48-6812,7/31/1989,Corwin,Blanche,,M,123 RandStreet,Dallas,Texas,17001,(984) 525-6379,654-291-5933,Class A,Title Test,Active,9/20/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Zachary.Barrows@yahoo.com,836-15-9433,4/6/1976,Brown,Ruthe,,M,123 RandStreet,Dallas,Texas,17001,(788) 690-0222 x929,502-763-3478,Class A,Title Test,Active,7/8/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Cheyanne_Schuster86@yahoo.com,071-97-6992,9/20/1998,Miller,Tyrell,,M,123 RandStreet,Dallas,Texas,17001,1-873-819-2110,842-729-0012,Class A,Title Test,Active,2/22/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Demario_Hoppe@yahoo.com,237-66-1821,4/11/1955,Farrell,Jacklyn,,M,123 RandStreet,Dallas,Texas,17001,1-267-754-4659,815-900-9653,Class A,Title Test,Active,3/19/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Nelda.Herman64@hotmail.com,411-17-0545,3/7/1983,Sauer,Emanuel,,M,123 RandStreet,Dallas,Texas,17001,727.613.5023 x97378,728-008-8054,Class A,Title Test,Active,10/4/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Theo_Murazik51@hotmail.com,953-66-3833,8/15/1981,Keebler,Aileen,,F,123 RandStreet,Dallas,Texas,17001,1-353-530-9349,384-689-3831,Class A,Title Test,Active,1/27/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
