Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Leola.Kemmer76@hotmail.com,366-29-9120,5/27/2002,Halvorson,Madelynn,,M,123 RandStreet,Dallas,Texas,17001,637-859-1727 x758,581-075-1341,Class A,Title Test,Active,1/13/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Nasir.Cummerata47@hotmail.com,882-33-6768,11/13/1957,Hayes,Rosamond,,F,123 RandStreet,Dallas,Texas,17001,468.633.1333,674-161-3650,Class A,Title Test,Active,5/28/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Claude31@gmail.com,950-80-2256,5/19/1945,VonRueden,Ibrahim,,M,123 RandStreet,Dallas,Texas,17001,(657) 678-0143 x355,192-304-1529,Class A,Title Test,Active,7/8/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Vallie_Wehner67@hotmail.com,708-16-6317,7/16/1983,McKenzie,Clifton,,M,123 RandStreet,Dallas,Texas,17001,625-973-0015 x5898,826-458-4446,Class A,Title Test,Active,10/19/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Ulises.Altenwerth@yahoo.com,165-17-0413,4/25/1965,Roberts-Greenfelder,Mervin,,F,123 RandStreet,Dallas,Texas,17001,(754) 475-5024 x5320,788-680-2320,Class A,Title Test,Active,7/18/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Ron25@gmail.com,625-48-8176,7/28/2003,Mayer,Jamir,,M,123 RandStreet,Dallas,Texas,17001,(243) 210-2047 x3950,978-150-5464,Class A,Title Test,Active,5/6/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Suzanne.Huel12@hotmail.com,672-43-4554,5/18/1974,Schmeler,Coleman,,M,123 RandStreet,Dallas,Texas,17001,748.700.6953 x5757,066-323-5839,Class A,Title Test,Active,3/17/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Tyrique_Marvin40@gmail.com,018-34-6919,8/26/1941,Goodwin,Orland,,F,123 RandStreet,Dallas,Texas,17001,(990) 583-0763,922-252-1070,Class A,Title Test,Active,3/11/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Faye_Terry@gmail.com,012-32-1942,6/18/1976,Dare,Mina,,F,123 RandStreet,Dallas,Texas,17001,396-820-0808,662-865-5405,Class A,Title Test,Active,5/29/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Freda_Schmitt52@yahoo.com,751-24-1237,1/11/1964,Funk,Marianne,,M,123 RandStreet,Dallas,Texas,17001,1-431-726-0953 x496,787-344-0000,Class A,Title Test,Active,11/12/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
