Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Leda16@hotmail.com,206-00-2129,1/25/1945,Waters-Ziemann,Tiffany,,F,123 RandStreet,Dallas,Texas,17001,1-491-526-6514,271-623-8847,Class A,Title Test,Active,3/3/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Herman.Langosh@gmail.com,226-89-7997,11/5/1943,Schuster,Cedrick,,F,123 RandStreet,Dallas,Texas,17001,(697) 753-1398 x4210,557-444-7050,Class A,Title Test,Active,4/13/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Berniece37@gmail.com,572-07-0692,8/9/1988,Buckridge,Alexandria,,F,123 RandStreet,Dallas,Texas,17001,509.411.2231 x718,987-606-8050,Class A,Title Test,Active,3/27/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Candace.Metz@yahoo.com,392-09-8366,9/16/1985,Cummings,Crawford,,M,123 RandStreet,Dallas,Texas,17001,286.247.4233,022-625-9457,Class A,Title Test,Active,5/27/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Prudence_Wiegand@hotmail.com,088-49-7821,4/26/1979,Schneider,Khalil,,M,123 RandStreet,Dallas,Texas,17001,1-934-945-8712 x549,227-028-1292,Class A,Title Test,Active,12/23/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Mariana65@hotmail.com,180-57-8728,7/26/1997,Toy,Alfred,,F,123 RandStreet,Dallas,Texas,17001,1-913-460-1314 x922,922-346-0904,Class A,Title Test,Active,10/25/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Ephraim.Purdy14@yahoo.com,393-31-0951,2/9/2009,Rodriguez,Joy,,M,123 RandStreet,Dallas,Texas,17001,377.902.0274,308-811-1957,Class A,Title Test,Active,10/26/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Marcellus_Jenkins@gmail.com,861-73-0631,6/10/1956,Mohr,Easton,,F,123 RandStreet,Dallas,Texas,17001,559.532.1786,068-844-2806,Class A,Title Test,Active,8/10/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Jamie6@gmail.com,280-85-1315,1/13/1970,Blanda,Brycen,,M,123 RandStreet,Dallas,Texas,17001,479.202.7988 x12779,606-694-7972,Class A,Title Test,Active,1/16/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Isadore90@hotmail.com,510-36-6213,4/15/2005,Schoen,Noemie,,F,123 RandStreet,Dallas,Texas,17001,732-518-6215,227-714-2077,Class A,Title Test,Active,9/16/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
