Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Eden_Beahan@hotmail.com,701-40-6848,8/17/1971,Boehm,Pansy,,M,123 RandStreet,Dallas,Texas,17001,449.322.5342 x2514,934-507-5925,Class A,Title Test,Active,8/13/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Garry20@gmail.com,364-12-5109,4/30/1950,Kris,Mittie,,M,123 RandStreet,Dallas,Texas,17001,(628) 665-7749 x517,174-124-2139,Class A,Title Test,Active,8/8/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Daija_Barrows@hotmail.com,648-90-5355,4/23/1969,Douglas,Hulda,,M,123 RandStreet,Dallas,Texas,17001,206.232.9525 x52496,578-560-0289,Class A,Title Test,Active,3/19/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Margret_Labadie@gmail.com,895-51-8661,6/7/1989,Schmidt,Amir,,M,123 RandStreet,Dallas,Texas,17001,744.776.4358 x00086,616-310-1073,Class A,Title Test,Active,1/18/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Melba_Beer@gmail.com,931-81-1483,4/24/1967,Ortiz,Terrance,,F,123 RandStreet,Dallas,Texas,17001,878.581.4331 x57559,268-632-0515,Class A,Title Test,Active,6/26/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Guido_Effertz39@gmail.com,109-02-8799,10/28/1987,Boehm,Kamryn,,F,123 RandStreet,Dallas,Texas,17001,804.255.2061 x939,017-969-4811,Class A,Title Test,Active,5/5/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Jude_Schaefer@hotmail.com,151-47-7443,3/15/1944,Nolan,Weston,,F,123 RandStreet,Dallas,Texas,17001,(433) 208-5052 x441,173-067-3443,Class A,Title Test,Active,5/21/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Kayleigh.Yost-Runte@gmail.com,741-63-9444,6/16/1962,Kerluke-Schmitt,Diego,,M,123 RandStreet,Dallas,Texas,17001,(705) 739-4610 x8617,124-659-1466,Class A,Title Test,Active,10/24/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Norberto30@hotmail.com,358-51-3006,8/13/1995,Murray,Mallory,,M,123 RandStreet,Dallas,Texas,17001,(321) 230-8441 x114,808-970-4341,Class A,Title Test,Active,11/18/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Breanne_White63@yahoo.com,692-74-5197,4/8/1984,Bogisich,Curt,,F,123 RandStreet,Dallas,Texas,17001,667.441.8997 x828,305-126-9707,Class A,Title Test,Active,10/22/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
