Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Celestino_Hilll-Borer@hotmail.com,441-64-5060,1/13/1965,Koepp,Travon,,F,123 RandStreet,Dallas,Texas,17001,847-781-6994 x9047,114-448-0630,Class A,Title Test,Active,8/1/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Greta.Deckow@yahoo.com,788-94-2654,7/30/2017,McCullough,Talon,,F,123 RandStreet,Dallas,Texas,17001,406-457-9768 x025,182-166-7711,Class A,Title Test,Active,3/24/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Ezra.Goodwin@hotmail.com,503-33-2504,3/14/1997,Harvey,Martine,,M,123 RandStreet,Dallas,Texas,17001,448-233-9251 x98152,625-889-5299,Class A,Title Test,Active,5/28/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Otilia.Gislason@yahoo.com,808-00-6217,5/28/1990,Klocko,Claude,,F,123 RandStreet,Dallas,Texas,17001,261-557-6796,518-354-0383,Class A,Title Test,Active,7/29/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Hobart.Bogan@gmail.com,128-92-0113,4/10/1954,Heller,Jarrett,,M,123 RandStreet,Dallas,Texas,17001,681.616.6400,801-521-9467,Class A,Title Test,Active,1/5/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Grayson90@gmail.com,704-12-0942,8/9/1972,Bergstrom,Maud,,F,123 RandStreet,Dallas,Texas,17001,762-621-5843 x7923,959-228-6184,Class A,Title Test,Active,10/10/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Percy.Terry97@yahoo.com,941-91-8272,3/17/2001,Smitham,Friedrich,,F,123 RandStreet,Dallas,Texas,17001,1-818-677-2046,828-584-3995,Class A,Title Test,Active,7/4/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Demetrius56@yahoo.com,287-92-2796,1/20/2012,Frami,Joey,,F,123 RandStreet,Dallas,Texas,17001,1-698-623-2963 x224,919-654-6737,Class A,Title Test,Active,1/30/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Patricia70@yahoo.com,984-68-3601,9/2/1957,Gulgowski-Satterfield,Harrison,,M,123 RandStreet,Dallas,Texas,17001,353-863-9745 x94136,597-095-3975,Class A,Title Test,Active,3/19/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Gabe.Quitzon@hotmail.com,041-04-9014,6/28/2015,Blick,Delphine,,F,123 RandStreet,Dallas,Texas,17001,268-641-6689 x93833,825-743-2399,Class A,Title Test,Active,9/17/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
